Id,SalePrice
1461,109502.90403286763
1462,137492.46669354767
1463,174777.99966358056
1464,197519.1450029026
1465,210805.28400085552
1466,172489.95665429556
1467,189766.33745719434
1468,161696.0463505612
1469,207763.70702313795
1470,116580.2760565274
1471,181880.4042181638
1472,103248.16875663365
1473,89625.86421505432
1474,150373.92518942733
1475,105112.60813970142
1476,357763.32853762165
1477,263403.59739974805
1478,314593.1803530294
1479,312140.2338340882
1480,437203.0883432325
1481,311625.91359892
1482,230576.27253601584
1483,171585.32931294525
1484,168682.59736485197
1485,197547.7241708982
1486,198017.778532297
1487,329073.0441845242
1488,238643.8516686852
1489,194798.4752245847
1490,238497.48944880895
1491,195604.70008238486
1492,84480.6522284149
1493,226246.97555153398
1494,299978.6658133203
1495,288485.5294111258
1496,238705.8547374364
1497,172704.71186821547
1498,162634.99262090505
1499,161031.89346681617
1500,153614.79152452142
1501,191086.94973555498
1502,152885.86655975028
1503,285035.4252771308
1504,239619.49732333643
1505,220683.3238106449
1506,195866.90848195425
1507,243042.0245235418
1508,194741.35339250357
1509,158797.2950064008
1510,141615.0777039337
1511,136946.20894811582
1512,175555.39274953504
1513,164282.0894634435
1514,154859.31106369488
1515,203752.34416328953
1516,159276.70363827946
1517,179800.2335650744
1518,120467.82923798275
1519,216067.92259574577
1520,121885.36026216042
1521,120184.01646427577
1522,189326.23775484483
1523,98838.30263150623
1524,130232.67907928454
1525,111623.80090991443
1526,117886.17269537295
1527,98423.45869458525
1528,142709.77029973874
1529,147897.4754658154
1530,229203.7202187177
1531,130303.68543234642
1532,103476.13973645703
1533,150597.03959769732
1534,132333.0988868184
1535,144180.02398881223
1536,95313.23480334738
1537,46390.79453241761
1538,167921.47509878618
1539,214397.78423531773
1540,132382.13001517858
1541,145878.25527609512
1542,136738.81202592363
1543,186102.17032689787
1544,79252.35961109586
1545,125088.27821396152
1546,139792.05504141294
1547,125317.8317685423
1548,149375.1653122824
1549,126607.29938958085
1550,139048.34120951395
1551,115293.75739538507
1552,147605.91408270958
1553,160551.4730182106
1554,123722.91045485134
1555,139904.37465050665
1556,87214.00416993338
1557,118956.39839784708
1558,108624.40191923652
1559,86764.74635643605
1560,141089.0816449609
1561,135630.79432821018
1562,126720.5710874066
1563,123694.88676788821
1564,156043.18279045168
1565,145213.1065924192
1566,239661.42679539986
1567,72639.04748011415
1568,217383.66445917892
1569,119479.67834766279
1570,136653.7311717244
1571,92671.3950231584
1572,139047.40163140988
1573,231861.7895955051
1574,129841.58929235674
1575,227919.68694056035
1576,247631.48287385388
1577,188845.25705468783
1578,158059.64154810528
1579,133979.4285551831
1580,196383.86700782483
1581,157745.904555468
1582,135704.16996333993
1583,270475.58010463684
