id,yield
15289,4292.807073496417
15290,6314.232397068543
15291,7164.000455226074
15292,4896.892950487518
15293,3736.4900502262426
15294,5082.757223205628
15295,7159.780558571712
15296,6543.671525500232
15297,8049.9807528833335
15298,4183.806606227263
15299,5876.445703058629
15300,5896.986858821282
15301,5626.874835429211
15302,5795.230212998967
15303,5029.083330104297
15304,4830.694172814962
15305,4647.493971707947
15306,6411.207950506976
15307,4967.040486704816
15308,5988.515739163042
15309,6331.1303572681045
15310,7555.775171478179
15311,5268.934069420179
15312,5154.732047764135
15313,6452.264079673404
15314,5011.442956428403
15315,4535.870222869531
15316,7876.692571648335
15317,5708.600650176337
15318,7820.144359268333
15319,8074.6184567619375
15320,6997.260367862605
15321,6698.67698948783
15322,2633.955223222145
15323,5975.653772781144
15324,2727.1511631398826
15325,6947.062978340707
15326,6281.281388899013
15327,4164.266669071041
15328,7793.37463501244
15329,7670.840860471236
15330,5144.028067979478
15331,5877.236376003523
15332,6929.003182341951
15333,6541.22404269273
15334,5562.139399708811
15335,7960.096133027358
15336,4231.022692922523
15337,7551.367071797815
15338,6355.916020735569
15339,5674.446817855573
15340,6807.309440003368
15341,5708.703671027027
15342,5241.091212876989
15343,6793.348309071744
15344,6148.147190482025
15345,4330.086577780863
15346,6162.01740804619
15347,6348.786328616633
15348,4950.537532711578
15349,6536.962674080052
15350,4647.738579675367
15351,6227.751309561849
15352,5931.726904463419
15353,6833.586767501742
15354,4340.865955409663
15355,4366.7899030703165
15356,6040.771998301689
15357,6440.81545658297
15358,7004.422023587708
15359,4970.266719913623
15360,4309.930043190374
15361,5689.0291659833665
15362,5985.491273436103
15363,6721.1191310575405
15364,5127.684157969839
15365,4436.609072866833
15366,4773.621332906578
15367,7544.287150381139
15368,4901.098888387012
15369,5875.0379521204695
15370,6440.499050767133
15371,2966.832180130339
15372,4804.669393753582
15373,6255.691398595291
15374,5721.1517651583945
15375,5466.79048508022
15376,6013.36036013961
15377,5742.272002155812
15378,4770.188479077364
15379,6086.992263261981
15380,7331.69179678502
15381,6191.621441705878
15382,5703.4213094698725
15383,7521.155551463706
15384,5343.927143102688
15385,4096.93151549847
15386,4118.697567266339
15387,4240.8433832711535
15388,6757.159708892643
15389,6188.019811700715
15390,8159.057406774257
15391,6473.561645297913
15392,7232.582744324376
15393,5947.556093457236
15394,6121.681328928993
15395,5618.30029978596
15396,6896.7951553346065
15397,6854.206498985344
15398,5804.472263561945
15399,5646.275021271208
15400,4912.2529048554225
15401,6311.602358993521
15402,6261.099985059372
