id,yield
15289,4305.27577217653
15290,6105.7765090588455
15291,7246.385975561345
15292,4966.923679804665
15293,3663.8342883503574
15294,4964.558963870125
15295,7214.241633833757
15296,6435.258804399316
15297,8374.688672775275
15298,4231.230060314478
15299,5858.0440941968645
15300,5905.717260890499
15301,5531.690964507545
15302,5646.753008873269
15303,5059.68670839159
15304,4862.244182497233
15305,4843.070876104406
15306,6313.374866240136
15307,5007.688066623269
15308,5819.517225479574
15309,6184.172892233419
15310,7562.46818819914
15311,4394.947460345127
15312,5170.70121505116
15313,6391.383860052084
15314,5106.273592773857
15315,4583.386348925618
15316,7965.987096371931
15317,5655.454720679014
15318,7832.181963715804
15319,8134.058816477851
15320,6982.9590654180765
15321,6603.124247935463
15322,2707.8483646055706
15323,5894.00652713364
15324,2635.73165533669
15325,7126.951454010476
15326,6179.790141628103
15327,4169.531041193261
15328,7813.754914125027
15329,7730.436302062833
15330,5145.743175707133
15331,5758.821478452142
15332,6867.766353521649
15333,6370.992912299253
15334,5589.502905492019
15335,8025.992662587789
15336,4157.293374118882
15337,7527.485423672089
15338,6155.6704855717535
15339,5512.820832564975
15340,6699.103182614273
15341,5709.886407849778
15342,5354.860478788566
15343,6702.12857683391
15344,6055.080060998764
15345,4462.908754437869
15346,6102.44199980706
15347,6268.223756915867
15348,4745.141801160577
15349,6499.593361702845
15350,4635.682225784124
15351,6083.324640546655
15352,5845.81906262396
15353,6873.587141765049
15354,4322.864731138528
15355,4488.238841665629
15356,6062.426234169589
15357,6175.694194906812
15358,6981.724366542977
15359,4977.34382805911
15360,4460.130989037604
15361,5643.091683087059
15362,5984.041986991484
15363,6628.477610029899
15364,5101.2098173573895
15365,4489.316298157998
15366,4745.018145938238
15367,7670.215195440036
15368,4933.130860095095
15369,5876.393497531436
15370,6416.455504444804
15371,3372.7792164478496
15372,4845.280865894873
15373,6190.075708231356
15374,5666.4998979681195
15375,5482.572001934319
15376,5892.630987632419
15377,5659.039556354581
15378,4759.816710691779
15379,6029.598893833184
15380,7350.882724596822
15381,6104.444190424379
15382,5897.710789045092
15383,7320.73073907091
15384,5196.276401171443
15385,4270.485835063828
15386,4344.171246740035
15387,4386.910372889034
15388,6767.739517530359
15389,6107.358171103549
15390,8321.950966552708
15391,6377.1843543940395
15392,7234.5943293903765
15393,5835.1518843689555
15394,6049.623872081436
15395,5548.782481005818
15396,6890.45951158647
15397,6873.142648245668
15398,5618.609637133112
15399,5565.390791368421
15400,4840.370035165974
15401,6154.551829784196
15402,6169.038276019926
15403,6103.461398235555
15404,7201.180664995471
15405,7529.122862042297
15406,8198.141859164938
15407,5705.346152248133
15408,7607.355541053161
15409,5851.206570534289
